Iteration,Events,Ants,Evaporation,Update,Render,Blit,Total_Iter
100,0.0390322,1.58561,0.262952,0.0146258,14.6025,15.8602,32.3654
200,0.0324442,1.55859,0.257387,0.014117,14.841,16.1313,32.8352
300,0.0327708,1.71733,0.274255,0.0146091,14.8833,16.0687,32.9914
400,0.0323994,1.86076,0.29957,0.015121,14.9322,15.9284,33.0689
500,0.0319995,1.90197,0.303387,0.0154086,15.0471,15.8154,33.1156
600,0.0319144,1.84423,0.303259,0.0153314,15.299,15.653,33.1472
700,0.031664,1.79682,0.299584,0.0152835,15.5079,15.5181,33.1698
800,0.0315478,1.75636,0.296033,0.0152214,15.7165,15.3706,33.1867
900,0.0313706,1.78344,0.301613,0.0150956,15.9375,15.1295,33.1989
1000,0.0319378,1.75821,0.299271,0.0154984,16.2186,14.8859,33.2099
1100,0.0318364,1.71685,0.293918,0.0153597,16.4352,14.7248,33.2184
1200,0.0318601,1.69416,0.290724,0.0152704,16.6733,14.5196,33.2254
1300,0.0326565,1.68251,0.290792,0.0152426,16.9113,14.2985,33.2313
1400,0.0327598,1.6893,0.29454,0.0153458,17.2056,13.9988,33.2367
1500,0.0326761,1.67152,0.292512,0.0152726,17.4287,13.8,33.2411
1600,0.0324506,1.66904,0.293516,0.0153232,17.7023,13.5318,33.2448
1700,0.0321467,1.65264,0.292639,0.0152747,17.9729,13.2823,33.2484
1800,0.0317673,1.63372,0.290578,0.0152627,18.3426,12.9372,33.2515
1900,0.0316201,1.61705,0.288553,0.0152234,18.6313,12.67,33.2542
2000,0.0314149,1.60072,0.286517,0.015176,18.9515,12.3711,33.2569
2100,0.0311647,1.58689,0.284565,0.0151414,19.2553,12.0856,33.2591
2200,0.0307773,1.57968,0.285493,0.0150991,19.5919,11.7576,33.261
2300,0.0303625,1.57081,0.286151,0.0151203,19.9357,11.4209,33.2594
2400,0.0299002,1.56671,0.287891,0.0151314,20.2615,11.0998,33.2613
2500,0.0295263,1.55586,0.286905,0.015121,20.6034,10.7718,33.263
2600,0.0291056,1.54557,0.287377,0.01507,20.9641,10.4363,33.278
2700,0.028792,1.54313,0.289776,0.0150653,21.3064,10.1047,33.2882
2800,0.0286963,1.54561,0.292646,0.0151295,21.629,9.78605,33.2976
2900,0.0284125,1.53443,0.292621,0.0151094,21.9795,9.49589,33.3463
3000,0.0280779,1.52599,0.293566,0.0151538,22.3234,9.2139,33.4005
3100,0.0277588,1.51861,0.293814,0.015274,22.9348,8.94886,33.7395
3200,0.0275659,1.51544,0.293058,0.0155345,23.792,8.71785,34.3619
3300,0.0274402,1.51385,0.292949,0.0157856,24.772,8.49877,35.1212
3400,0.0272747,1.51109,0.292505,0.016024,25.6766,8.29522,35.8191
3500,0.027189,1.50761,0.292116,0.0162044,26.5489,8.10453,36.497
3600,0.0270377,1.50364,0.291881,0.0164077,27.5246,7.92716,37.2911
3700,0.0268541,1.50095,0.291292,0.0165681,28.4804,7.75949,38.076
3800,0.0267268,1.49744,0.290895,0.0166974,29.3835,7.59808,38.8138
3900,0.0266357,1.49328,0.290405,0.0168236,30.327,7.45053,39.6051
4000,0.0264687,1.49035,0.290049,0.0169337,31.2526,7.30486,40.3817
4100,0.0263847,1.48617,0.289607,0.0170315,32.1973,7.16983,41.1868
4200,0.0262346,1.4819,0.289155,0.0171393,33.1695,7.04228,42.0267
4300,0.026015,1.47225,0.288366,0.0171264,33.7222,6.90636,42.4328
4400,0.025753,1.45814,0.287466,0.0169488,33.6828,6.76571,42.2372
4500,0.0254868,1.4429,0.286225,0.0167687,33.6382,6.62866,42.0387
4600,0.0252211,1.43156,0.286056,0.0165933,33.5896,6.4993,41.8488
4700,0.0252391,1.42129,0.287398,0.0164545,33.5546,6.37933,41.6848
4800,0.0250032,1.40875,0.286644,0.0163052,33.5297,6.26068,41.5276
4900,0.0247056,1.39589,0.285466,0.0161596,33.5028,6.14129,41.3667
5000,0.0245426,1.38415,0.284864,0.0160203,33.4885,6.03181,41.2303
La première nourriture est arrivée au nid a l'iteration 1996
