Iteration,Events,Ants,Evaporation,Update,Render,Blit,Total_Iter
100,0.0765877,1.3375,0.38911,0.0196987,14.7284,16.1291,32.6808
200,0.0529962,1.18076,0.286891,0.0192266,15.0823,16.3691,32.9918
300,0.0454609,1.18468,0.308222,0.0198321,15.0896,16.4474,33.0956
400,0.0429116,1.18492,0.311758,0.0201715,15.1332,16.4541,33.1474
500,0.0405283,1.14503,0.286213,0.0200536,15.1878,16.4987,33.1787
600,0.038672,1.10529,0.265125,0.0201279,15.2508,16.5193,33.1997
700,0.0375435,1.09082,0.253067,0.0199672,15.2704,16.5424,33.2146
800,0.0365376,1.07482,0.24335,0.0197216,15.2954,16.5553,33.2255
900,0.0357994,1.06251,0.235865,0.019724,15.3139,16.5662,33.2343
1000,0.0351335,1.06085,0.236753,0.0198421,15.3302,16.5578,33.241
1100,0.0345534,1.05335,0.231942,0.0198897,15.3469,16.5596,33.2467
1200,0.035158,1.053,0.229909,0.0202218,15.3609,16.552,33.2516
1300,0.0351828,1.0538,0.227719,0.0203476,15.3735,16.5447,33.2557
1400,0.0348311,1.05018,0.225172,0.0203892,15.3836,16.5442,33.2589
1500,0.0342248,1.04196,0.220954,0.0202781,15.3977,16.5466,33.2621
1600,0.0339999,1.03692,0.218231,0.0201257,15.4033,16.5517,33.2647
1700,0.0336166,1.03087,0.21537,0.0201272,15.4135,16.5532,33.2671
1800,0.0334449,1.02155,0.212137,0.0201244,15.4256,16.5558,33.2691
1900,0.0332715,1.01857,0.21051,0.0200664,15.428,16.56,33.2709
2000,0.03311,1.0154,0.209573,0.0200367,15.4335,16.5603,33.2723
2100,0.0330577,1.01484,0.209316,0.0200195,15.4364,16.5599,33.274
2200,0.0328236,1.01266,0.207688,0.0199777,15.441,16.5608,33.2754
2300,0.0326877,1.01252,0.211135,0.0199092,15.4398,16.5601,33.2765
2400,0.0326229,1.01021,0.209779,0.0199012,15.4467,16.558,33.2777
2500,0.0324811,1.00584,0.20819,0.0199069,15.4529,16.559,33.2787
2600,0.0322971,1.00151,0.206361,0.0199477,15.4609,16.5583,33.2797
2700,0.0321871,0.998878,0.205194,0.0199491,15.4659,16.5581,33.2806
2800,0.0320933,0.996165,0.20492,0.0199521,15.4685,16.5593,33.2814
2900,0.0320958,0.996306,0.204682,0.0199653,15.4735,16.5551,33.282
3000,0.0319796,0.995662,0.204316,0.0200345,15.4783,16.5522,33.2829
3100,0.0319862,0.995503,0.203994,0.0200186,15.484,16.5476,33.2836
3200,0.0319059,0.997779,0.204177,0.0199351,15.4901,16.5398,33.2841
3300,0.0318113,0.998988,0.204144,0.0199019,15.496,16.5334,33.2846
3400,0.0318968,1.00091,0.204877,0.0198773,15.4997,16.5275,33.2853
3500,0.0319586,1.006,0.208444,0.019888,15.4988,16.5203,33.2858
3600,0.0318789,1.00455,0.207851,0.0198971,15.5036,16.5181,33.2863
3700,0.0317638,1.00528,0.208438,0.019818,15.5089,16.5121,33.2867
3800,0.0316504,1.00523,0.208583,0.0198298,15.5129,16.5086,33.2872
3900,0.0315711,1.00425,0.208347,0.0197395,15.5206,16.5027,33.2876
4000,0.0316147,1.00982,0.214271,0.0196122,15.5222,16.49,33.288
4100,0.0316251,1.017,0.223414,0.0194878,15.5209,16.4755,33.2884
4200,0.0315856,1.02429,0.230029,0.0193819,15.5171,16.4659,33.2887
4300,0.0314555,1.02371,0.229598,0.0192378,15.5259,16.4588,33.2891
4400,0.0314698,1.02302,0.229664,0.0191176,15.5335,16.4522,33.2894
4500,0.0314181,1.02316,0.230456,0.0189868,15.5394,16.4458,33.2897
4600,0.0317037,1.02321,0.230478,0.0188619,15.5449,16.4405,33.2901
4700,0.0316226,1.02218,0.229956,0.0189088,15.5494,16.4379,33.2903
4800,0.0315473,1.01875,0.22927,0.0189544,15.5564,16.4354,33.2907
4900,0.031973,1.01766,0.229469,0.0189818,15.5598,16.4326,33.2909
5000,0.0322373,1.02051,0.233475,0.0190055,15.5591,16.4265,33.2912
La première nourriture est arrivée au nid a l'iteration 1996
