Iteration,Events,Ants,Evaporation,Update,Render,Blit,Total_Iter
100,0.0352791,3.52924,0.621839,0.0156107,13.343,15.4937,33.039
200,0.0566079,3.13105,0.575075,0.0148621,13.7282,15.6667,33.1728
300,0.0493279,2.95869,0.555733,0.0146284,14.062,15.5747,33.2154
400,0.0451581,3.11948,0.566396,0.014744,14.4574,15.034,33.2375
500,0.0450716,3.46876,0.589318,0.0145647,14.7654,14.3661,33.2496
600,0.0465057,3.55515,0.602583,0.0147566,15.1511,13.8882,33.2587
700,0.0467109,3.6065,0.61342,0.0147801,15.5017,13.4814,33.2648
800,0.0450288,3.84404,0.621938,0.0145984,15.912,12.8317,33.2697
900,0.0456375,3.75648,0.63844,0.0147208,16.3632,12.4544,33.2733
1000,0.0442858,3.67081,0.632693,0.0147621,16.769,12.1444,33.2762
1100,0.0425306,3.54768,0.624886,0.0147238,17.1988,11.8497,33.2787
1200,0.0408858,3.47201,0.620746,0.0148493,17.573,11.5591,33.281
1300,0.0397723,3.40209,0.617286,0.0148648,17.9824,11.2257,33.2825
1400,0.0389895,3.33789,0.613159,0.0151252,18.4239,10.8544,33.2839
1500,0.0380105,3.30985,0.613404,0.0151055,18.8732,10.4355,33.2855
1600,0.037422,3.31065,0.613222,0.015249,19.3343,9.97499,33.2862
1700,0.036544,3.26199,0.608276,0.0153043,19.7323,9.63263,33.2874
1800,0.0356164,3.21396,0.603873,0.0153187,20.134,9.28516,33.2883
1900,0.0351726,3.16716,0.60386,0.0152706,20.5421,8.92596,33.2899
2000,0.0347251,3.11299,0.601528,0.015224,20.9573,8.57102,33.2932
2100,0.0339325,3.06908,0.595932,0.0151671,21.3488,8.22719,33.2905
2200,0.0335991,3.01932,0.591309,0.0151171,21.7081,7.92318,33.291
2300,0.0330762,2.96924,0.586698,0.0150735,22.052,7.63781,33.2942
2400,0.0324813,2.92501,0.582499,0.0150251,22.3925,7.34681,33.2947
2500,0.0319144,2.88411,0.57692,0.0149612,22.693,7.10583,33.3071
2600,0.0312871,2.8512,0.572349,0.0149265,22.9504,6.88305,33.3036
2700,0.0306874,2.8019,0.567587,0.0148675,23.2208,6.66639,33.3026
2800,0.0301332,2.76798,0.563306,0.0148127,23.4868,6.47012,33.3335
2900,0.0296732,2.74108,0.559832,0.0147855,23.7453,6.2884,33.3795
3000,0.0291985,2.70588,0.55718,0.0147478,24.0375,6.11428,33.4591
3100,0.0289579,2.68241,0.554577,0.0146878,24.3913,5.9522,33.6245
3200,0.0290631,2.66075,0.551483,0.0146401,24.7726,5.79835,33.8272
3300,0.0287773,2.63694,0.548963,0.014603,25.2001,5.65356,34.0833
3400,0.0285284,2.62234,0.546663,0.0145733,25.6044,5.51661,34.3334
3500,0.0283519,2.61302,0.546483,0.0145707,26.0456,5.38905,34.6374
3600,0.0281525,2.59882,0.545762,0.0145483,26.4999,5.26441,34.9519
3700,0.0278493,2.57995,0.543652,0.0145315,26.9411,5.14993,35.2573
3800,0.0275959,2.56781,0.54234,0.0145092,27.3724,5.0441,35.569
3900,0.0272986,2.5414,0.539811,0.0144639,27.8605,4.94459,35.9284
4000,0.0270998,2.53103,0.53963,0.0144599,28.2972,4.84704,36.2568
4100,0.0269989,2.5088,0.538207,0.0144334,28.7871,4.76207,36.6379
4200,0.0269039,2.48788,0.536285,0.0143997,29.2909,4.67779,37.0345
4300,0.0266868,2.48257,0.53439,0.0143928,29.7238,4.59195,37.3742
4400,0.026495,2.46559,0.532551,0.0143713,30.2072,4.51177,37.7583
4500,0.0262911,2.47137,0.532608,0.0143805,30.6899,4.43422,38.1691
4600,0.0261757,2.47063,0.531767,0.0143664,31.2226,4.35912,38.625
4700,0.0259689,2.45399,0.529904,0.0143359,31.6749,4.28657,38.986
4800,0.0257553,2.44557,0.528403,0.014326,32.1221,4.2209,39.3573
4900,0.0257884,2.43653,0.528264,0.0143172,32.616,4.15607,39.7772
5000,0.0256153,2.43065,0.527304,0.0143089,33.1185,4.09302,40.2097
La première nourriture est arrivée au nid a l'iteration 1996
