Iteration,Events,Ants,Evaporation,Update,Render,Blit,Total_Iter
100,0.0333022,1.50782,0.291624,0.0122594,14.5004,16.1056,32.4514
200,0.0281201,1.56577,0.294937,0.0119075,14.6061,16.3696,32.8767
300,0.0257188,1.47197,0.279246,0.0122976,14.7719,16.457,33.0185
400,0.0247254,1.41066,0.268542,0.0122247,14.8647,16.509,33.0902
500,0.0266674,1.37811,0.264334,0.0123978,14.9186,16.5321,33.1326
600,0.0266195,1.44729,0.28128,0.0124981,14.8606,16.5323,33.161
700,0.02674,1.44239,0.293297,0.0126622,14.8705,16.5355,33.1815
800,0.0275582,1.44464,0.291644,0.0126333,14.8847,16.5351,33.1966
900,0.0276143,1.42587,0.288585,0.0126113,14.9175,16.5362,33.2088
1000,0.0276279,1.4286,0.291389,0.012664,14.9285,16.529,33.2181
1100,0.0276745,1.43367,0.294591,0.0127424,14.9304,16.5266,33.226
1200,0.0273371,1.43037,0.293912,0.0127832,14.9427,16.5251,33.2326
1300,0.0273374,1.42591,0.294255,0.012813,14.9522,16.5253,33.2381
1400,0.0272197,1.40663,0.289819,0.0127807,14.9788,16.5273,33.2429
1500,0.0269746,1.39235,0.287049,0.0127993,14.9951,16.5322,33.2468
1600,0.0270747,1.38678,0.285203,0.0127684,15.0031,16.5353,33.2505
1700,0.0270442,1.37812,0.282793,0.0127517,15.0152,16.5374,33.2536
1800,0.0269603,1.37154,0.282586,0.0127973,15.023,16.5392,33.2564
1900,0.0268883,1.36314,0.280736,0.0127906,15.0375,16.5376,33.2589
2000,0.0268559,1.35523,0.279879,0.0128218,15.0471,16.5388,33.261
2100,0.0267537,1.34977,0.27898,0.0128536,15.0548,16.5384,33.2619
2200,0.026669,1.3447,0.278919,0.0128275,15.0632,16.5371,33.2638
2300,0.0266715,1.33926,0.279784,0.0128002,15.0703,16.5364,33.2655
2400,0.0265248,1.33199,0.278463,0.0127875,15.0817,16.5353,33.2672
2500,0.0265417,1.32673,0.277485,0.0127964,15.0897,16.5351,33.2686
2600,0.0265814,1.31941,0.275669,0.0128026,15.1,16.5351,33.2699
2700,0.0266032,1.31498,0.27448,0.0127638,15.1087,16.5334,33.2712
2800,0.0266819,1.30997,0.273821,0.0127856,15.1159,16.5328,33.2724
2900,0.0266379,1.30638,0.27372,0.012793,15.1203,16.5333,33.2734
3000,0.026687,1.30331,0.273813,0.0128248,15.1246,16.5328,33.2744
3100,0.0266304,1.29919,0.273117,0.0128428,15.1316,16.5316,33.2754
3200,0.0265415,1.29568,0.272376,0.0128317,15.1378,16.5307,33.2763
3300,0.0265197,1.2924,0.272043,0.0128365,15.1439,16.5291,33.2771
3400,0.02649,1.28945,0.272134,0.0128188,15.1489,16.5278,33.2779
3500,0.0263982,1.28389,0.271244,0.0128142,15.1572,16.5268,33.2787
3600,0.0263633,1.28009,0.271152,0.0128061,15.1627,16.5259,33.2793
3700,0.0262299,1.27662,0.270458,0.0127995,15.1687,16.5249,33.28
3800,0.0261876,1.27289,0.269565,0.0128027,15.1746,16.5243,33.2806
3900,0.0261959,1.26934,0.268946,0.0128048,15.1802,16.5234,33.2812
4000,0.0262264,1.26748,0.268469,0.0127957,15.1841,16.5224,33.2818
4100,0.0262398,1.26637,0.268282,0.0128204,15.188,16.5203,33.2823
4200,0.0261843,1.26597,0.268294,0.0128341,15.1915,16.5177,33.2828
4300,0.0261987,1.26366,0.268596,0.0128327,15.1971,16.5146,33.2833
4400,0.0261326,1.26129,0.268249,0.012826,15.2029,16.512,33.2838
4500,0.0262002,1.25885,0.268189,0.0128271,15.2088,16.509,33.2843
4600,0.0261974,1.25843,0.26969,0.0128181,15.2131,16.5041,33.2847
4700,0.0261529,1.25505,0.268877,0.0128117,15.2201,16.5018,33.2851
4800,0.0261384,1.25299,0.268743,0.0128019,15.2249,16.4995,33.2855
4900,0.0261015,1.25043,0.268561,0.0128186,15.2301,16.4975,33.2858
5000,0.0260719,1.24692,0.268015,0.0128253,15.2362,16.4958,33.2862
5100,0.0260224,1.24318,0.267578,0.0128309,15.2419,16.4948,33.2866
La première nourriture est arrivée au nid a l'iteration 1996
